district_school,GRADE_LEVEL,SCHOOL_NAME,DISTRICT_NAME,Disability__Autism,Disability__Blind_and_Visually_Impaired,Disability__Deaf_or_Hard_of_Hearing,Disability__Deafblind,Disability__Emotional_Behavioral_Disability,Disability__Intellectual_Disability,Disability__Not_IDEA_Eligible_or_No_Disability,Disability__Orthopedic_Impairment,Disability__Other_Health_Impairment,Disability__Significant_Developmental_Delay,Disability__Specific_Learning_Disability,Disability__Speech_or_Language_Impairment,Disability__Traumatic_Brain_Injury,Disability_Status__SwD,Disability_Status__SwoD,Economic_Status__Econ_Disadv,Economic_Status__Not_Econ_Disadv,EL_Status__EL,EL_Status__Eng_Prof,EL_Status__Unknown,Gender__Female,Gender__Male,Gender__Non-binary,Migrant_Status__Migrant,Migrant_Status__Not_Migrant,Race/Ethnicity__Amer_Indian,Race/Ethnicity__Asian,Race/Ethnicity__Black,Race/Ethnicity__Hispanic,Race/Ethnicity__Pacific_Isle,Race/Ethnicity__Two_or_More,Race/Ethnicity__White,Economic_Status__Unknown,Disability__Unknown,Disability_Status__Unknown,Race/Ethnicity__Unknown,Economic_Status__[Data_Suppressed],Disability__[Data_Suppressed],Disability_Status__[Data_Suppressed],Gender__[Data_Suppressed],Migrant_Status__[Data_Suppressed]
0000NA,1,[Statewide],[Statewide],1.89,0.05,0.17,*,0.30,0.10,83.78,0.09,1.22,3.96,0.04,8.38,*,16.22,83.78,44.05,55.95,8.10,91.89,0.01,*,51.66,*,0.03,99.97,1.02,4.44,8.70,13.90,0.09,6.00,65.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,10,[Statewide],[Statewide],1.53,0.05,0.19,*,1.85,0.89,86.87,0.07,4.05,NA,4.22,0.25,*,13.13,86.87,38.52,61.48,5.47,94.52,0.00,48.46,51.46,0.08,0.03,99.97,1.07,3.86,8.78,13.29,0.07,4.41,68.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,11,[Statewide],[Statewide],1.55,0.07,0.18,*,1.84,0.97,87.16,0.06,3.82,*,4.07,0.22,*,12.84,87.16,36.40,63.60,4.81,95.19,NA,48.62,51.30,0.08,0.03,99.97,1.06,3.92,7.85,13.43,0.09,4.13,69.51,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,12,[Statewide],[Statewide],2.45,0.06,0.18,NA,1.89,2.04,85.27,0.12,3.76,NA,4.00,0.16,0.07,14.73,85.27,34.04,65.96,4.55,95.44,0.00,48.53,51.40,0.07,0.02,99.98,1.11,3.95,7.59,12.78,0.08,3.86,70.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,2,[Statewide],[Statewide],1.80,0.07,0.18,NA,0.49,0.18,83.65,0.10,1.88,3.86,0.48,7.31,0.01,16.35,83.65,44.00,56.00,8.08,91.92,0.00,*,51.57,*,0.01,99.99,1.02,4.45,8.63,13.55,0.08,5.94,66.34,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,3,[Statewide],[Statewide],1.79,0.06,0.22,*,0.80,0.34,83.50,0.08,2.50,3.14,1.93,5.61,*,16.50,83.50,43.67,56.33,8.61,91.38,0.01,48.29,51.70,0.01,0.03,99.97,1.02,4.65,8.64,13.56,0.07,5.79,66.28,0.00,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,4,[Statewide],[Statewide],1.97,0.06,0.26,*,1.08,0.65,84.01,0.09,3.28,1.29,3.40,3.88,*,15.99,84.01,42.86,57.14,8.51,91.47,0.01,48.77,51.22,0.02,0.04,99.96,1.03,4.64,8.48,13.61,0.08,5.63,66.54,0.00,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,5,[Statewide],[Statewide],1.99,0.05,0.24,*,1.27,0.72,84.66,0.08,3.78,0.10,4.33,2.74,*,15.34,84.66,42.92,57.08,7.83,92.17,0.01,48.40,51.57,0.02,0.04,99.96,0.99,4.55,8.25,13.86,0.06,5.54,66.74,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,6,[Statewide],[Statewide],1.82,0.04,0.22,*,1.54,0.80,85.16,0.08,4.05,0.04,4.64,1.56,*,14.84,85.16,42.14,57.86,6.49,93.49,0.02,48.67,51.30,0.03,0.03,99.97,1.06,4.28,8.30,13.89,0.08,5.15,67.24,NA,0.00,0.00,NA,NA,NA,NA,NA,NA
0000NA,7,[Statewide],[Statewide],1.90,0.05,0.22,*,1.61,0.78,85.57,0.07,4.06,*,4.70,0.99,*,14.43,85.57,41.91,58.09,6.42,93.57,0.01,48.61,51.33,0.05,0.03,99.97,1.06,4.06,8.48,13.82,0.06,5.00,67.52,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,8,[Statewide],[Statewide],1.82,0.05,0.21,NA,1.79,0.91,85.67,0.08,4.25,NA,4.53,0.65,0.03,14.33,85.67,41.64,58.36,5.86,94.11,0.03,48.34,51.57,0.09,0.03,99.97,1.04,4.26,8.77,13.69,0.07,4.91,67.26,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,9,[Statewide],[Statewide],1.57,0.08,0.18,NA,1.81,0.94,86.69,0.07,3.92,*,4.34,0.35,*,13.31,86.69,41.24,58.76,5.78,94.22,0.00,48.18,51.72,0.11,0.03,99.97,1.01,3.86,10.09,13.67,0.07,4.61,66.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,K3,[Statewide],[Statewide],6.20,NA,*,NA,NA,*,78.55,*,1.24,4.90,NA,8.49,NA,21.45,78.55,78.74,21.26,NA,100.00,NA,46.93,53.07,NA,NA,100.00,0.31,2.73,55.55,23.68,0.12,4.34,13.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,K4,[Statewide],[Statewide],1.17,0.02,0.12,NA,*,0.02,89.27,0.06,0.59,3.28,*,5.43,0.02,10.73,89.27,40.40,59.60,0.63,99.36,0.01,*,51.61,*,*,*,0.88,4.38,9.43,13.10,0.10,5.80,66.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,KG,[Statewide],[Statewide],1.62,0.03,0.17,NA,0.08,0.07,86.27,0.08,0.68,3.56,*,7.42,*,13.73,86.27,44.79,55.21,7.07,92.92,0.01,48.63,51.37,NA,0.02,99.98,0.97,4.17,9.27,13.71,0.09,6.13,65.66,NA,NA,NA,NA,NA,NA,NA,NA,NA
0000NA,PK,[Statewide],[Statewide],10.84,0.28,0.98,*,*,0.23,21.82,0.49,4.45,23.48,*,37.26,*,78.18,21.82,38.92,61.08,0.19,99.81,NA,*,64.60,*,NA,100.00,1.36,2.93,5.62,16.06,0.06,5.09,68.87,NA,NA,NA,0.02,NA,NA,NA,NA,NA
0007NA,1,[Districtwide],Abbotsford,NA,NA,*,NA,NA,NA,69.23,NA,NA,*,NA,19.23,NA,30.77,69.23,71.15,28.85,63.46,36.54,NA,59.62,40.38,NA,NA,100.00,NA,NA,1.92,71.15,NA,1.92,25.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,10,[Districtwide],Abbotsford,*,NA,*,NA,*,*,79.45,*,*,NA,8.22,NA,NA,20.55,79.45,78.08,21.92,30.14,69.86,NA,46.58,53.42,NA,NA,100.00,NA,NA,1.37,57.53,NA,1.37,39.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,11,[Districtwide],Abbotsford,*,NA,NA,NA,*,*,87.30,NA,NA,NA,*,NA,NA,12.70,87.30,57.14,42.86,20.63,79.37,NA,46.03,53.97,NA,NA,100.00,NA,NA,NA,46.03,NA,1.59,52.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,12,[Districtwide],Abbotsford,NA,NA,NA,NA,NA,*,87.04,NA,*,NA,*,NA,NA,12.96,87.04,59.26,40.74,24.07,75.93,NA,61.11,38.89,NA,NA,100.00,NA,1.85,NA,62.96,NA,NA,35.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,2,[Districtwide],Abbotsford,NA,NA,*,NA,NA,NA,74.14,NA,*,*,NA,*,NA,25.86,74.14,NA,NA,62.07,37.93,NA,50.00,50.00,NA,NA,100.00,NA,1.72,NA,70.69,NA,3.45,24.14,NA,NA,NA,NA,*,NA,NA,NA,NA
0007NA,3,[Districtwide],Abbotsford,NA,NA,NA,NA,*,NA,80.95,NA,*,*,NA,*,NA,19.05,80.95,78.57,21.43,64.29,35.71,NA,52.38,47.62,NA,NA,100.00,NA,NA,2.38,73.81,NA,NA,23.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,4,[Districtwide],Abbotsford,NA,NA,*,NA,NA,NA,89.83,NA,*,NA,*,*,NA,10.17,89.83,83.05,16.95,57.63,42.37,NA,49.15,50.85,NA,NA,100.00,NA,NA,NA,69.49,NA,1.69,28.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,5,[Districtwide],Abbotsford,*,NA,NA,NA,NA,*,85.71,NA,*,NA,*,NA,NA,14.29,85.71,76.79,23.21,48.21,51.79,NA,53.57,46.43,NA,NA,100.00,NA,1.79,NA,73.21,NA,1.79,23.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,6,[Districtwide],Abbotsford,NA,NA,*,NA,*,*,88.68,NA,NA,NA,*,NA,NA,11.32,88.68,52.83,47.17,32.08,67.92,NA,47.17,52.83,NA,NA,100.00,NA,NA,NA,56.60,NA,NA,43.40,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,7,[Districtwide],Abbotsford,NA,NA,*,NA,NA,*,80.39,NA,*,NA,*,*,*,19.61,80.39,78.43,21.57,35.29,64.71,NA,41.18,58.82,NA,NA,100.00,NA,1.96,1.96,62.75,NA,1.96,31.37,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,8,[Districtwide],Abbotsford,NA,NA,*,NA,NA,*,85.96,NA,*,NA,*,NA,NA,14.04,85.96,75.44,24.56,33.33,66.67,NA,36.84,63.16,NA,NA,100.00,NA,NA,3.51,47.37,NA,NA,49.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,9,[Districtwide],Abbotsford,*,NA,NA,NA,NA,*,86.21,NA,NA,NA,*,*,NA,13.79,86.21,65.52,34.48,41.38,58.62,NA,39.66,60.34,NA,NA,100.00,NA,NA,NA,56.90,NA,NA,43.10,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,K4,[Districtwide],Abbotsford,NA,NA,NA,NA,NA,NA,84.62,NA,*,*,NA,*,NA,15.38,84.62,75.00,25.00,67.31,32.69,NA,63.46,36.54,NA,NA,100.00,NA,NA,NA,69.23,NA,NA,30.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,KG,[Districtwide],Abbotsford,*,NA,*,NA,NA,NA,71.88,NA,*,*,NA,*,NA,28.13,71.88,65.63,34.38,54.69,45.31,NA,43.75,56.25,NA,NA,100.00,NA,1.56,NA,68.75,NA,NA,29.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
0007NA,PK,[Districtwide],Abbotsford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,66.67,NA,*,*,NA,NA,100.00,NA,NA,NA,50.00,NA,NA,50.00,NA,NA,NA,NA,*,*,*,NA,NA
00070020,1,Abbotsford Elementary,Abbotsford,NA,NA,*,NA,NA,NA,69.23,NA,NA,*,NA,19.23,NA,30.77,69.23,71.15,28.85,63.46,36.54,NA,59.62,40.38,NA,NA,100.00,NA,NA,1.92,71.15,NA,1.92,25.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070020,2,Abbotsford Elementary,Abbotsford,NA,NA,*,NA,NA,NA,74.14,NA,*,*,NA,*,NA,25.86,74.14,NA,NA,62.07,37.93,NA,50.00,50.00,NA,NA,100.00,NA,1.72,NA,70.69,NA,3.45,24.14,NA,NA,NA,NA,*,NA,NA,NA,NA
00070020,3,Abbotsford Elementary,Abbotsford,NA,NA,NA,NA,*,NA,80.95,NA,*,*,NA,*,NA,19.05,80.95,78.57,21.43,64.29,35.71,NA,52.38,47.62,NA,NA,100.00,NA,NA,2.38,73.81,NA,NA,23.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070020,4,Abbotsford Elementary,Abbotsford,NA,NA,*,NA,NA,NA,89.83,NA,*,NA,*,*,NA,10.17,89.83,83.05,16.95,57.63,42.37,NA,49.15,50.85,NA,NA,100.00,NA,NA,NA,69.49,NA,1.69,28.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070020,5,Abbotsford Elementary,Abbotsford,*,NA,NA,NA,NA,*,85.71,NA,*,NA,*,NA,NA,14.29,85.71,76.79,23.21,48.21,51.79,NA,53.57,46.43,NA,NA,100.00,NA,1.79,NA,73.21,NA,1.79,23.21,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070020,K4,Abbotsford Elementary,Abbotsford,NA,NA,NA,NA,NA,NA,84.62,NA,*,*,NA,*,NA,15.38,84.62,75.00,25.00,67.31,32.69,NA,63.46,36.54,NA,NA,100.00,NA,NA,NA,69.23,NA,NA,30.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070020,KG,Abbotsford Elementary,Abbotsford,*,NA,*,NA,NA,NA,71.43,NA,*,*,NA,*,NA,28.57,71.43,65.08,34.92,55.56,44.44,NA,42.86,57.14,NA,NA,100.00,NA,1.59,NA,68.25,NA,NA,30.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070020,PK,Abbotsford Elementary,Abbotsford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,66.67,NA,*,*,NA,NA,100.00,NA,NA,NA,50.00,NA,NA,50.00,NA,NA,NA,NA,*,*,*,NA,NA
00070040,10,Abbotsford Middle/Senior High,Abbotsford,*,NA,*,NA,*,*,79.45,*,*,NA,8.22,NA,NA,20.55,79.45,78.08,21.92,30.14,69.86,NA,46.58,53.42,NA,NA,100.00,NA,NA,1.37,57.53,NA,1.37,39.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070040,11,Abbotsford Middle/Senior High,Abbotsford,*,NA,NA,NA,*,*,88.33,NA,NA,NA,*,NA,NA,11.67,88.33,60.00,40.00,21.67,78.33,NA,48.33,51.67,NA,NA,100.00,NA,NA,NA,48.33,NA,1.67,50.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070040,12,Abbotsford Middle/Senior High,Abbotsford,NA,NA,NA,NA,NA,*,87.04,NA,*,NA,*,NA,NA,12.96,87.04,59.26,40.74,24.07,75.93,NA,61.11,38.89,NA,NA,100.00,NA,1.85,NA,62.96,NA,NA,35.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070040,6,Abbotsford Middle/Senior High,Abbotsford,NA,NA,*,NA,*,*,88.46,NA,NA,NA,*,NA,NA,11.54,88.46,51.92,48.08,32.69,67.31,NA,48.08,51.92,NA,NA,100.00,NA,NA,NA,57.69,NA,NA,42.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070040,7,Abbotsford Middle/Senior High,Abbotsford,NA,NA,*,NA,NA,*,80.00,NA,*,NA,*,*,*,20.00,80.00,78.00,22.00,36.00,64.00,NA,40.00,60.00,NA,NA,100.00,NA,2.00,2.00,64.00,NA,2.00,30.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070040,8,Abbotsford Middle/Senior High,Abbotsford,NA,NA,*,NA,NA,*,85.96,NA,*,NA,*,NA,NA,14.04,85.96,75.44,24.56,33.33,66.67,NA,36.84,63.16,NA,NA,100.00,NA,NA,3.51,47.37,NA,NA,49.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
00070040,9,Abbotsford Middle/Senior High,Abbotsford,*,NA,NA,NA,NA,*,86.21,NA,NA,NA,*,*,NA,13.79,86.21,65.52,34.48,41.38,58.62,NA,39.66,60.34,NA,NA,100.00,NA,NA,NA,56.90,NA,NA,43.10,NA,NA,NA,NA,NA,NA,NA,NA,NA
00079100,11,Rural Virtual Academy,Abbotsford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,*,*,*,*,*
00079100,6,Rural Virtual Academy,Abbotsford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,*,*,*,*,*
00079100,7,Rural Virtual Academy,Abbotsford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,*,*,*,*,*
00079100,KG,Rural Virtual Academy,Abbotsford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,NA,NA,NA,*,*,*,*,*
0014NA,1,[Districtwide],Adams-Friendship Area,*,NA,*,NA,*,*,79.07,NA,*,*,NA,6.98,NA,20.93,79.07,66.28,33.72,2.33,97.67,NA,45.35,54.65,NA,NA,100.00,NA,NA,NA,13.95,NA,3.49,82.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,10,[Districtwide],Adams-Friendship Area,*,*,NA,NA,*,NA,73.79,NA,7.77,NA,9.71,NA,NA,26.21,73.79,66.99,33.01,1.94,98.06,NA,41.75,58.25,NA,NA,100.00,NA,NA,1.94,11.65,NA,1.94,84.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,11,[Districtwide],Adams-Friendship Area,NA,NA,NA,NA,*,*,80.81,NA,*,NA,9.09,NA,NA,19.19,80.81,56.57,43.43,1.01,98.99,NA,48.48,51.52,NA,NA,100.00,1.01,NA,NA,9.09,NA,4.04,85.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,12,[Districtwide],Adams-Friendship Area,*,NA,*,NA,8.20,5.74,72.95,NA,5.74,NA,*,NA,*,27.05,72.95,59.84,40.16,0.82,99.18,NA,46.72,53.28,NA,NA,100.00,0.82,NA,1.64,9.84,NA,4.10,83.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,2,[Districtwide],Adams-Friendship Area,*,NA,NA,NA,*,*,73.33,NA,*,9.33,*,*,NA,26.67,73.33,62.67,37.33,NA,100.00,NA,49.33,50.67,NA,NA,100.00,NA,NA,1.33,6.67,NA,1.33,90.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,3,[Districtwide],Adams-Friendship Area,*,NA,NA,NA,*,NA,77.78,NA,NA,*,*,7.41,NA,22.22,77.78,72.84,27.16,3.70,96.30,NA,49.38,50.62,NA,NA,100.00,NA,1.23,NA,8.64,NA,8.64,81.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,4,[Districtwide],Adams-Friendship Area,*,NA,NA,NA,*,*,73.00,NA,*,*,8.00,8.00,NA,27.00,73.00,67.00,33.00,1.00,99.00,NA,59.00,41.00,NA,NA,100.00,2.00,2.00,3.00,9.00,NA,6.00,78.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,5,[Districtwide],Adams-Friendship Area,*,NA,*,NA,*,NA,81.32,NA,*,NA,8.79,NA,NA,18.68,81.32,71.43,28.57,NA,100.00,NA,49.45,50.55,NA,NA,100.00,1.10,1.10,2.20,12.09,NA,8.79,74.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,6,[Districtwide],Adams-Friendship Area,*,NA,NA,NA,*,*,80.52,NA,*,NA,*,NA,NA,19.48,80.52,74.03,25.97,3.90,96.10,NA,50.65,49.35,NA,NA,100.00,NA,NA,1.30,9.09,NA,11.69,77.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,7,[Districtwide],Adams-Friendship Area,*,NA,NA,NA,*,*,70.37,*,11.11,NA,12.04,*,NA,29.63,70.37,69.44,30.56,0.93,99.07,NA,47.22,52.78,NA,NA,100.00,NA,NA,NA,3.70,NA,9.26,87.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,8,[Districtwide],Adams-Friendship Area,*,NA,NA,NA,*,*,74.51,NA,7.84,NA,11.76,NA,*,25.49,74.51,74.51,25.49,0.98,99.02,NA,49.02,50.98,NA,NA,100.00,NA,NA,NA,13.73,NA,7.84,78.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,9,[Districtwide],Adams-Friendship Area,*,NA,NA,NA,*,*,77.31,NA,5.88,NA,10.08,*,*,22.69,77.31,63.87,36.13,2.52,97.48,NA,49.58,50.42,NA,NA,100.00,NA,0.84,0.84,9.24,NA,6.72,82.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,K4,[Districtwide],Adams-Friendship Area,NA,NA,NA,NA,NA,NA,*,NA,NA,*,NA,*,NA,*,*,64.29,35.71,1.79,98.21,NA,42.86,57.14,NA,NA,100.00,NA,NA,1.79,5.36,NA,NA,92.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,KG,[Districtwide],Adams-Friendship Area,*,NA,NA,NA,NA,NA,82.61,*,NA,9.78,NA,*,NA,17.39,82.61,64.13,35.87,2.17,97.83,NA,46.74,53.26,NA,*,*,NA,NA,3.26,4.35,NA,6.52,85.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
0014NA,PK,[Districtwide],Adams-Friendship Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00,50.00,NA,NA,NA,NA,*,*,*,*,*
00140130,1,Adams-Friendship Elementary,Adams-Friendship Area,*,NA,*,NA,*,*,79.07,NA,*,*,NA,6.98,NA,20.93,79.07,66.28,33.72,2.33,97.67,NA,45.35,54.65,NA,NA,100.00,NA,NA,NA,13.95,NA,3.49,82.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140130,2,Adams-Friendship Elementary,Adams-Friendship Area,*,NA,NA,NA,*,*,73.33,NA,*,9.33,*,*,NA,26.67,73.33,62.67,37.33,NA,100.00,NA,49.33,50.67,NA,NA,100.00,NA,NA,1.33,6.67,NA,1.33,90.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140130,3,Adams-Friendship Elementary,Adams-Friendship Area,*,NA,NA,NA,*,NA,77.78,NA,NA,*,*,7.41,NA,22.22,77.78,72.84,27.16,3.70,96.30,NA,49.38,50.62,NA,NA,100.00,NA,1.23,NA,8.64,NA,8.64,81.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140130,4,Adams-Friendship Elementary,Adams-Friendship Area,*,NA,NA,NA,*,*,73.00,NA,*,*,8.00,8.00,NA,27.00,73.00,67.00,33.00,1.00,99.00,NA,59.00,41.00,NA,NA,100.00,2.00,2.00,3.00,9.00,NA,6.00,78.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140130,K4,Adams-Friendship Elementary,Adams-Friendship Area,NA,NA,NA,NA,NA,NA,*,NA,NA,*,NA,*,NA,*,*,64.29,35.71,1.79,98.21,NA,42.86,57.14,NA,NA,100.00,NA,NA,1.79,5.36,NA,NA,92.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140130,KG,Adams-Friendship Elementary,Adams-Friendship Area,*,NA,NA,NA,NA,NA,82.61,*,NA,9.78,NA,*,NA,17.39,82.61,64.13,35.87,2.17,97.83,NA,46.74,53.26,NA,*,*,NA,NA,3.26,4.35,NA,6.52,85.87,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140130,PK,Adams-Friendship Elementary,Adams-Friendship Area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00,50.00,NA,NA,NA,NA,*,*,*,*,*
00140040,10,Adams-Friendship High,Adams-Friendship Area,*,*,NA,NA,*,NA,73.79,NA,7.77,NA,9.71,NA,NA,26.21,73.79,66.99,33.01,1.94,98.06,NA,41.75,58.25,NA,NA,100.00,NA,NA,1.94,11.65,NA,1.94,84.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140040,11,Adams-Friendship High,Adams-Friendship Area,NA,NA,NA,NA,*,*,80.81,NA,*,NA,9.09,NA,NA,19.19,80.81,56.57,43.43,1.01,98.99,NA,48.48,51.52,NA,NA,100.00,1.01,NA,NA,9.09,NA,4.04,85.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140040,12,Adams-Friendship High,Adams-Friendship Area,*,NA,*,NA,8.20,5.74,72.95,NA,5.74,NA,*,NA,*,27.05,72.95,59.84,40.16,0.82,99.18,NA,46.72,53.28,NA,NA,100.00,0.82,NA,1.64,9.84,NA,4.10,83.61,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140040,9,Adams-Friendship High,Adams-Friendship Area,*,NA,NA,NA,*,*,77.31,NA,5.88,NA,10.08,*,*,22.69,77.31,63.87,36.13,2.52,97.48,NA,49.58,50.42,NA,NA,100.00,NA,0.84,0.84,9.24,NA,6.72,82.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140210,5,Adams-Friendship Middle,Adams-Friendship Area,*,NA,*,NA,*,NA,81.32,NA,*,NA,8.79,NA,NA,18.68,81.32,71.43,28.57,NA,100.00,NA,49.45,50.55,NA,NA,100.00,1.10,1.10,2.20,12.09,NA,8.79,74.73,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140210,6,Adams-Friendship Middle,Adams-Friendship Area,*,NA,NA,NA,*,*,80.52,NA,*,NA,*,NA,NA,19.48,80.52,74.03,25.97,3.90,96.10,NA,50.65,49.35,NA,NA,100.00,NA,NA,1.30,9.09,NA,11.69,77.92,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140210,7,Adams-Friendship Middle,Adams-Friendship Area,*,NA,NA,NA,*,*,70.37,*,11.11,NA,12.04,*,NA,29.63,70.37,69.44,30.56,0.93,99.07,NA,47.22,52.78,NA,NA,100.00,NA,NA,NA,3.70,NA,9.26,87.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
00140210,8,Adams-Friendship Middle,Adams-Friendship Area,*,NA,NA,NA,*,*,74.51,NA,7.84,NA,11.76,NA,*,25.49,74.51,74.51,25.49,0.98,99.02,NA,49.02,50.98,NA,NA,100.00,NA,NA,NA,13.73,NA,7.84,78.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
8022NA,1,[Districtwide],"Adeline Montessori School, Inc.",NA,NA,NA,NA,NA,NA,*,NA,NA,*,NA,NA,NA,*,*,*,*,NA,100.00,NA,*,*,NA,NA,100.00,NA,NA,NA,10.00,NA,NA,90.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
8022NA,2,[Districtwide],"Adeline Montessori School, Inc.",NA,NA,NA,NA,NA,NA,100.00,NA,NA,NA,NA,NA,NA,NA,100.00,NA,100.00,NA,100.00,NA,*,*,NA,NA,100.00,NA,NA,NA,11.11,NA,NA,88.89,NA,NA,NA,NA,NA,NA,NA,NA,NA
8022NA,3,[Districtwide],"Adeline Montessori School, Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.00,NA,100.00,NA,*,*,NA,NA,100.00,NA,NA,NA,16.67,NA,NA,83.33,NA,NA,NA,NA,NA,*,*,NA,NA
8022NA,4,[Districtwide],"Adeline Montessori School, Inc.",NA,NA,NA,NA,NA,NA,*,NA,*,NA,NA,NA,NA,*,*,NA,100.00,NA,100.00,NA,*,*,NA,NA,100.00,NA,NA,NA,50.00,NA,NA,50.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
