CNTYNAME,year,ped_type,ped_inj,driver_race,count
MILWAUKEE,2022,PED,Suspected Serious Injury,NA,23
MILWAUKEE,2023,BIKE,Fatality,Black,1
MILWAUKEE,2023,BIKE,Suspected Serious Injury,Black,4
MILWAUKEE,2023,BIKE,Suspected Serious Injury,White,7
MILWAUKEE,2023,BIKE,Suspected Serious Injury,NA,3
MILWAUKEE,2023,PED,Fatality,Black,7
MILWAUKEE,2023,PED,Fatality,Hispanic,2
MILWAUKEE,2023,PED,Fatality,White,5
MILWAUKEE,2023,PED,Fatality,NA,8
MILWAUKEE,2023,PED,Suspected Serious Injury,Black,27
MILWAUKEE,2023,PED,Suspected Serious Injury,Hispanic,2
MILWAUKEE,2023,PED,Suspected Serious Injury,White,19
MILWAUKEE,2023,PED,Suspected Serious Injury,NA,38
