MUNINAME,year,ped_type,ped_inj,ped_age,count
MILWAUKEE,2017,BIKE,Fatality,63,1
MILWAUKEE,2017,BIKE,Fatality,83,1
MILWAUKEE,2017,BIKE,Suspected Serious Injury,9,1
MILWAUKEE,2017,BIKE,Suspected Serious Injury,10,2
MILWAUKEE,2017,BIKE,Suspected Serious Injury,20,1
MILWAUKEE,2017,BIKE,Suspected Serious Injury,25,1
MILWAUKEE,2017,BIKE,Suspected Serious Injury,26,1
MILWAUKEE,2017,BIKE,Suspected Serious Injury,33,1
MILWAUKEE,2017,BIKE,Suspected Serious Injury,46,1
MILWAUKEE,2017,BIKE,Suspected Serious Injury,60,1
MILWAUKEE,2017,PED,Fatality,23,1
MILWAUKEE,2017,PED,Fatality,29,1
MILWAUKEE,2017,PED,Fatality,36,1
MILWAUKEE,2017,PED,Fatality,45,2
MILWAUKEE,2017,PED,Fatality,51,1
MILWAUKEE,2017,PED,Fatality,54,1
MILWAUKEE,2017,PED,Fatality,55,1
MILWAUKEE,2017,PED,Fatality,56,1
MILWAUKEE,2017,PED,Fatality,60,3
MILWAUKEE,2017,PED,Fatality,62,1
MILWAUKEE,2017,PED,Fatality,68,1
MILWAUKEE,2017,PED,Fatality,71,1
MILWAUKEE,2017,PED,Fatality,87,1
MILWAUKEE,2017,PED,Suspected Serious Injury,5,1
MILWAUKEE,2017,PED,Suspected Serious Injury,6,1
MILWAUKEE,2017,PED,Suspected Serious Injury,8,1
MILWAUKEE,2017,PED,Suspected Serious Injury,9,1
MILWAUKEE,2017,PED,Suspected Serious Injury,11,1
MILWAUKEE,2017,PED,Suspected Serious Injury,15,2
MILWAUKEE,2017,PED,Suspected Serious Injury,17,1
MILWAUKEE,2017,PED,Suspected Serious Injury,18,1
MILWAUKEE,2017,PED,Suspected Serious Injury,20,1
MILWAUKEE,2017,PED,Suspected Serious Injury,21,1
MILWAUKEE,2017,PED,Suspected Serious Injury,22,3
MILWAUKEE,2017,PED,Suspected Serious Injury,23,1
MILWAUKEE,2017,PED,Suspected Serious Injury,24,2
MILWAUKEE,2017,PED,Suspected Serious Injury,25,2
MILWAUKEE,2017,PED,Suspected Serious Injury,27,2
MILWAUKEE,2017,PED,Suspected Serious Injury,28,1
MILWAUKEE,2017,PED,Suspected Serious Injury,32,1
MILWAUKEE,2017,PED,Suspected Serious Injury,33,1
MILWAUKEE,2017,PED,Suspected Serious Injury,34,1
MILWAUKEE,2017,PED,Suspected Serious Injury,38,2
MILWAUKEE,2017,PED,Suspected Serious Injury,41,2
MILWAUKEE,2017,PED,Suspected Serious Injury,43,2
MILWAUKEE,2017,PED,Suspected Serious Injury,44,1
MILWAUKEE,2017,PED,Suspected Serious Injury,45,2
MILWAUKEE,2017,PED,Suspected Serious Injury,46,1
MILWAUKEE,2017,PED,Suspected Serious Injury,47,1
MILWAUKEE,2017,PED,Suspected Serious Injury,48,3
MILWAUKEE,2017,PED,Suspected Serious Injury,51,1
MILWAUKEE,2017,PED,Suspected Serious Injury,52,1
MILWAUKEE,2017,PED,Suspected Serious Injury,55,2
MILWAUKEE,2017,PED,Suspected Serious Injury,57,1
MILWAUKEE,2017,PED,Suspected Serious Injury,58,2
MILWAUKEE,2017,PED,Suspected Serious Injury,59,1
MILWAUKEE,2017,PED,Suspected Serious Injury,60,1
MILWAUKEE,2017,PED,Suspected Serious Injury,61,1
MILWAUKEE,2017,PED,Suspected Serious Injury,62,1
MILWAUKEE,2017,PED,Suspected Serious Injury,65,2
MILWAUKEE,2017,PED,Suspected Serious Injury,67,1
MILWAUKEE,2017,PED,Suspected Serious Injury,70,1
MILWAUKEE,2017,PED,Suspected Serious Injury,74,1
MILWAUKEE,2017,PED,Suspected Serious Injury,76,1
MILWAUKEE,2017,PED,Suspected Serious Injury,78,1
MILWAUKEE,2017,PED,Suspected Serious Injury,80,1
MILWAUKEE,2017,PED,Suspected Serious Injury,NA,1
MILWAUKEE,2018,BIKE,Suspected Serious Injury,9,1
MILWAUKEE,2018,BIKE,Suspected Serious Injury,10,1
MILWAUKEE,2018,BIKE,Suspected Serious Injury,15,1
MILWAUKEE,2018,BIKE,Suspected Serious Injury,26,1
MILWAUKEE,2018,BIKE,Suspected Serious Injury,27,1
MILWAUKEE,2018,BIKE,Suspected Serious Injury,47,1
MILWAUKEE,2018,BIKE,Suspected Serious Injury,59,1
MILWAUKEE,2018,BIKE,Suspected Serious Injury,67,1
MILWAUKEE,2018,PED,Fatality,23,1
MILWAUKEE,2018,PED,Fatality,25,1
MILWAUKEE,2018,PED,Fatality,32,1
MILWAUKEE,2018,PED,Fatality,35,1
MILWAUKEE,2018,PED,Fatality,36,1
MILWAUKEE,2018,PED,Fatality,44,1
MILWAUKEE,2018,PED,Fatality,53,1
MILWAUKEE,2018,PED,Fatality,63,1
MILWAUKEE,2018,PED,Fatality,64,3
MILWAUKEE,2018,PED,Fatality,65,1
MILWAUKEE,2018,PED,Fatality,68,1
MILWAUKEE,2018,PED,Fatality,69,1
MILWAUKEE,2018,PED,Fatality,73,1
MILWAUKEE,2018,PED,Fatality,74,1
MILWAUKEE,2018,PED,Fatality,79,1
MILWAUKEE,2018,PED,Suspected Serious Injury,6,1
MILWAUKEE,2018,PED,Suspected Serious Injury,8,3
MILWAUKEE,2018,PED,Suspected Serious Injury,10,1
MILWAUKEE,2018,PED,Suspected Serious Injury,11,2
MILWAUKEE,2018,PED,Suspected Serious Injury,13,1
MILWAUKEE,2018,PED,Suspected Serious Injury,16,1
MILWAUKEE,2018,PED,Suspected Serious Injury,18,1
MILWAUKEE,2018,PED,Suspected Serious Injury,20,3
MILWAUKEE,2018,PED,Suspected Serious Injury,22,1
MILWAUKEE,2018,PED,Suspected Serious Injury,23,1
MILWAUKEE,2018,PED,Suspected Serious Injury,24,1
MILWAUKEE,2018,PED,Suspected Serious Injury,26,3
MILWAUKEE,2018,PED,Suspected Serious Injury,28,2
MILWAUKEE,2018,PED,Suspected Serious Injury,29,2
MILWAUKEE,2018,PED,Suspected Serious Injury,30,1
MILWAUKEE,2018,PED,Suspected Serious Injury,32,2
MILWAUKEE,2018,PED,Suspected Serious Injury,33,1
MILWAUKEE,2018,PED,Suspected Serious Injury,35,1
MILWAUKEE,2018,PED,Suspected Serious Injury,36,1
MILWAUKEE,2018,PED,Suspected Serious Injury,37,1
MILWAUKEE,2018,PED,Suspected Serious Injury,38,1
MILWAUKEE,2018,PED,Suspected Serious Injury,40,1
MILWAUKEE,2018,PED,Suspected Serious Injury,42,1
MILWAUKEE,2018,PED,Suspected Serious Injury,43,2
MILWAUKEE,2018,PED,Suspected Serious Injury,45,3
MILWAUKEE,2018,PED,Suspected Serious Injury,47,2
MILWAUKEE,2018,PED,Suspected Serious Injury,48,1
MILWAUKEE,2018,PED,Suspected Serious Injury,51,1
MILWAUKEE,2018,PED,Suspected Serious Injury,52,2
MILWAUKEE,2018,PED,Suspected Serious Injury,53,1
MILWAUKEE,2018,PED,Suspected Serious Injury,54,1
MILWAUKEE,2018,PED,Suspected Serious Injury,56,2
MILWAUKEE,2018,PED,Suspected Serious Injury,57,2
MILWAUKEE,2018,PED,Suspected Serious Injury,58,2
MILWAUKEE,2018,PED,Suspected Serious Injury,59,1
MILWAUKEE,2018,PED,Suspected Serious Injury,60,1
MILWAUKEE,2018,PED,Suspected Serious Injury,61,1
MILWAUKEE,2018,PED,Suspected Serious Injury,62,2
MILWAUKEE,2018,PED,Suspected Serious Injury,63,1
MILWAUKEE,2018,PED,Suspected Serious Injury,65,2
MILWAUKEE,2018,PED,Suspected Serious Injury,71,1
MILWAUKEE,2018,PED,Suspected Serious Injury,75,1
MILWAUKEE,2018,PED,Suspected Serious Injury,82,1
MILWAUKEE,2019,BIKE,Suspected Serious Injury,14,1
MILWAUKEE,2019,BIKE,Suspected Serious Injury,24,1
MILWAUKEE,2019,BIKE,Suspected Serious Injury,27,1
MILWAUKEE,2019,BIKE,Suspected Serious Injury,29,1
MILWAUKEE,2019,BIKE,Suspected Serious Injury,33,1
MILWAUKEE,2019,BIKE,Suspected Serious Injury,36,1
MILWAUKEE,2019,BIKE,Suspected Serious Injury,61,2
MILWAUKEE,2019,BIKE,Suspected Serious Injury,64,1
MILWAUKEE,2019,BIKE,Suspected Serious Injury,65,1
MILWAUKEE,2019,BIKE,Suspected Serious Injury,69,1
MILWAUKEE,2019,PED,Fatality,25,1
MILWAUKEE,2019,PED,Fatality,33,1
MILWAUKEE,2019,PED,Fatality,36,1
MILWAUKEE,2019,PED,Fatality,54,1
MILWAUKEE,2019,PED,Fatality,55,1
MILWAUKEE,2019,PED,Fatality,60,1
MILWAUKEE,2019,PED,Fatality,68,1
MILWAUKEE,2019,PED,Fatality,69,1
MILWAUKEE,2019,PED,Fatality,70,1
MILWAUKEE,2019,PED,Fatality,84,1
MILWAUKEE,2019,PED,Suspected Serious Injury,2,1
MILWAUKEE,2019,PED,Suspected Serious Injury,5,3
MILWAUKEE,2019,PED,Suspected Serious Injury,8,2
MILWAUKEE,2019,PED,Suspected Serious Injury,10,1
MILWAUKEE,2019,PED,Suspected Serious Injury,12,1
MILWAUKEE,2019,PED,Suspected Serious Injury,13,2
MILWAUKEE,2019,PED,Suspected Serious Injury,14,1
MILWAUKEE,2019,PED,Suspected Serious Injury,15,1
MILWAUKEE,2019,PED,Suspected Serious Injury,16,3
MILWAUKEE,2019,PED,Suspected Serious Injury,17,1
MILWAUKEE,2019,PED,Suspected Serious Injury,19,3
MILWAUKEE,2019,PED,Suspected Serious Injury,20,1
MILWAUKEE,2019,PED,Suspected Serious Injury,26,1
MILWAUKEE,2019,PED,Suspected Serious Injury,27,3
MILWAUKEE,2019,PED,Suspected Serious Injury,29,2
MILWAUKEE,2019,PED,Suspected Serious Injury,30,2
MILWAUKEE,2019,PED,Suspected Serious Injury,31,2
